"f"	"REUG_right"	"REOG_65_right"	"REAG_55_right"	"REAG_65_right"	"REAG_80_right"	"REUG_left"	"REOG_65_left"	"REAG_55_left"	"REAG_65_left"	"REAG_80_left"
"110"	4687	50.7804430457214	51.5578279035347	59.4196832884458	69.9696595518575	80.4891592930167	47.4984992852511	50.5838018243022	56.335644598623	67.2947256928339	79.0297035897227
"111"	4730	50.8221520134868	50.9017849129155	58.3510221366936	68.3771515874696	80.5366083824019	45.3004071563603	47.9557352541893	56.5285132005129	66.998151716591	79.3545614830759
"112"	4773	51.3683456449584	50.7985826750839	58.9444950347141	69.1228979856169	81.1668393498754	45.2360974274164	45.375022254736	56.1808891174618	66.8945928747639	79.1587401981924
"113"	4816	51.3532756391255	49.3833616889546	59.36966510333	69.4316898482197	81.3248698131646	46.0137306212086	44.9064007716664	55.2961128761895	66.8781061335294	78.0857722524037
"114"	4859	49.9003192568379	46.8686964425898	58.500803119138	68.7629674468211	81.1218425695891	45.2882936144142	43.5493131531971	56.0432443805033	67.7995400896044	79.5867126140366
"115"	4902	47.1405451489636	43.4713423393642	55.4234111031647	66.5966874045114	79.2879786838559	42.4932416959915	39.7714467874008	55.0190286975103	66.3871355213754	79.268142678839
"116"	4945	47.2467257833798	41.5962787471277	53.5653612214266	65.2999696485977	77.4352655282889	42.5741062108659	38.4449289869881	53.0250332595952	64.0802751432582	77.1687514195928
"117"	4988	48.0032752892778	42.0520475738231	54.2295500855189	64.974348425662	75.2931082691408	43.3532869927561	39.0801069415491	52.5206424721168	64.4131280349502	75.8365317646386
"118"	5031	46.1795252150798	41.4198302366511	55.0025483958386	65.7516850703051	75.5078054892331	42.3694057126024	38.8507870400406	53.0190505431973	65.4554894641865	75.9837175145309
"119"	5074	46.4958199609909	41.6848218416256	54.9005910167637	64.9627587142993	76.9503041862214	41.957217478329	38.6867995305008	54.0627651067813	65.523963331991	76.5726086618532
"120"	5117	47.48693974065	42.9646942213667	53.1868503108493	62.3195422366016	76.5286573455578	41.4922349842765	39.0034037485143	53.366213612848	62.9482703374924	76.0808315574466
